loyalty_number,total_points_accumulated,total_points_redeemed
670131,64987.0,900.0
316527,64007.0,0.0
315736,48143.0,1479.0
278932,58108.0,722.0
851563,49325.0,0.0
840008,96306.0,0.0
157712,66004.0,1645.0
967883,67171.0,2028.0
507189,55266.0,1489.0
356712,54474.0,567.0
360732,917.0,376.0
434621,64417.0,861.0
997741,21134.0,462.0
893555,563.0,0.0
346598,41125.0,0.0
172757,82966.0,3229.0
208634,58486.0,354.0
249352,49985.0,1540.0
827819,58141.0,747.0
490932,85384.0,871.0
346090,69462.0,1268.0
637927,11102.0,582.0
408493,38527.0,545.0
853565,37625.0,0.0
105712,46412.0,1168.0
945703,140556.0,0.0
698505,58911.0,1027.0
760614,21575.0,0.0
321748,69989.0,0.0
268307,66057.0,1560.0
512522,68853.0,770.0
212128,104292.0,0.0
537421,57656.0,2260.0
826136,61778.0,982.0
328446,51124.0,0.0
618524,45457.0,345.0
727873,16611.0,1448.0
321427,6837.0,464.0
116895,67005.0,497.0
877630,34540.0,1474.0
599372,41541.0,506.0
528782,0.0,0.0
634850,76911.0,1649.0
991056,17688.0,440.0
377114,95536.0,0.0
592088,82572.0,657.0
699194,104325.0,343.0
641123,89354.0,1611.0
760842,63978.0,300.0
833024,59881.0,466.0
330433,72984.0,649.0
995079,0.0,0.0
251779,41740.0,578.0
842523,0.0,0.0
776399,0.0,0.0
791202,73488.0,862.0
262467,83138.0,1525.0
898437,63794.0,1215.0
263080,38374.0,346.0
871203,33794.0,800.0
826304,55163.0,590.0
551300,87617.0,386.0
425445,43255.0,498.0
804710,56213.0,2537.0
767385,64643.0,1099.0
162472,21843.0,538.0
690563,47282.0,1307.0
669373,79084.0,3908.0
287979,44057.0,889.0
207576,64687.0,1191.0
706962,70738.0,1991.0
919832,88893.0,0.0
696502,58641.0,608.0
748682,47776.0,412.0
222050,53544.0,851.0
657842,205422.0,467.0
191869,45388.0,3177.0
752259,45973.0,2662.0
502390,79402.0,372.0
188542,56951.0,1394.0
781777,58269.0,861.0
605269,33091.0,887.0
802002,52255.0,554.0
921777,47404.0,1265.0
596911,38461.0,1588.0
491907,47960.0,951.0
437262,0.0,0.0
822723,7866.0,0.0
331857,43355.0,384.0
700225,53231.0,500.0
100102,68918.0,1195.0
309727,66291.0,0.0
806196,110487.0,437.0
575948,67521.0,635.0
514632,59982.0,0.0
324242,71243.0,0.0
128325,49065.0,1020.0
997439,50686.0,1385.0
708555,14962.0,326.0
612019,23846.0,1231.0
987153,54909.0,472.0
705243,42652.0,0.0
304131,50227.0,0.0
667341,43680.0,972.0
686555,59704.0,757.0
229621,49845.0,446.0
682521,38722.0,0.0
305150,61560.0,503.0
283122,49505.0,1123.0
720197,60723.0,1673.0
996488,82123.0,1534.0
752609,45046.0,0.0
817613,70871.0,1891.0
678858,0.0,0.0
627568,10174.0,0.0
488188,39751.0,0.0
667974,54727.0,0.0
451961,0.0,0.0
109517,45001.0,986.0
998776,26127.0,443.0
694915,40495.0,0.0
316308,49492.0,426.0
737676,0.0,0.0
843212,58977.0,1872.0
815603,0.0,0.0
197642,63891.0,946.0
641050,72751.0,900.0
453032,67681.0,457.0
522234,42400.0,327.0
168316,78481.0,319.0
922634,49280.0,432.0
375597,56295.0,1029.0
571340,17199.0,0.0
218425,69910.0,1605.0
952629,49653.0,534.0
691332,93690.0,541.0
352581,11659.0,851.0
406254,60045.0,1158.0
736459,46470.0,1016.0
686474,0.0,0.0
677976,13509.0,0.0
835975,0.0,0.0
451448,0.0,0.0
931054,16073.0,0.0
652636,7408.0,0.0
870223,10703.0,524.0
380795,58373.0,1413.0
481931,75352.0,422.0
346456,57742.0,335.0
468520,8834.0,0.0
840088,67598.0,2208.0
954836,59614.0,1589.0
842064,0.0,0.0
686728,178101.0,0.0
655614,0.0,0.0
646038,60237.0,362.0
509108,61848.0,0.0
908123,82502.0,2393.0
197855,7861.0,0.0
952859,0.0,0.0
892219,60717.0,1567.0
344570,17173.0,997.0
849330,71245.0,0.0
201273,216324.0,1092.0
216596,67707.0,602.0
557739,92775.0,872.0
633299,54049.0,484.0
941092,24731.0,0.0
817168,93109.0,2188.0
419893,63652.0,1080.0
157674,72029.0,930.0
716961,83434.0,321.0
307049,83389.0,1903.0
396018,54101.0,1312.0
861470,41047.0,0.0
571180,43804.0,775.0
520660,44658.0,1766.0
157751,57995.0,372.0
465476,0.0,0.0
945166,84936.0,1185.0
933053,123264.0,626.0
413815,61113.0,1761.0
396997,66529.0,1274.0
407238,44725.0,1065.0
980915,45916.0,1025.0
556649,50711.0,1368.0
912539,37455.0,1537.0
254860,42440.0,0.0
423821,38133.0,646.0
899592,37054.0,1705.0
560713,61705.0,377.0
712026,56764.0,704.0
915243,20965.0,517.0
519933,64966.0,538.0
803844,45914.0,380.0
672570,70097.0,447.0
115427,61723.0,1028.0
541741,46186.0,435.0
817932,29246.0,293.0
400224,55902.0,0.0
263921,57904.0,426.0
585039,62134.0,1231.0
631543,76085.0,1692.0
122173,0.0,0.0
287198,39220.0,1056.0
274141,84807.0,1812.0
614377,19404.0,0.0
409989,13753.0,449.0
136715,54213.0,1351.0
887266,54033.0,1058.0
531430,79100.0,447.0
584458,66084.0,1396.0
442304,66804.0,1217.0
348463,60769.0,557.0
816763,36296.0,556.0
136906,59148.0,428.0
484592,68676.0,0.0
246517,36085.0,698.0
233819,53540.0,1080.0
958274,77526.0,494.0
145480,55412.0,472.0
144565,45387.0,1979.0
962801,40762.0,1036.0
903146,45990.0,0.0
566737,61547.0,350.0
117832,0.0,0.0
649052,42436.0,0.0
633787,52629.0,1802.0
976307,55338.0,382.0
652790,29964.0,0.0
251641,36512.0,761.0
514493,10880.0,0.0
642109,60699.0,816.0
459801,78294.0,1668.0
765252,65250.0,824.0
536021,10813.0,531.0
455892,129339.0,0.0
199342,67270.0,1085.0
530978,51866.0,1513.0
399575,74698.0,572.0
359188,14649.0,0.0
132319,46661.0,849.0
608241,61154.0,503.0
386446,3636.0,456.0
170027,65396.0,611.0
182205,18382.0,536.0
282759,3627.0,0.0
901819,62009.0,1817.0
103970,56234.0,0.0
534505,0.0,0.0
429244,53582.0,1999.0
933682,16116.0,492.0
725120,66789.0,1575.0
377928,12425.0,0.0
436010,74881.0,364.0
875789,0.0,0.0
755374,55746.0,1141.0
485062,30040.0,912.0
702048,49436.0,353.0
638740,0.0,0.0
122685,53257.0,795.0
223238,0.0,0.0
551828,64375.0,1019.0
511981,4584.0,435.0
307740,36230.0,342.0
731238,53677.0,847.0
745811,75855.0,2463.0
179075,62744.0,0.0
168349,43445.0,977.0
402638,30958.0,0.0
126219,44095.0,727.0
480021,12009.0,0.0
763071,57210.0,1336.0
219747,49193.0,1597.0
577844,59939.0,332.0
841674,95091.0,0.0
782393,79824.0,0.0
196992,61715.0,1077.0
624407,64032.0,697.0
270499,52529.0,495.0
983416,193707.0,0.0
882590,64755.0,2919.0
608384,56430.0,1536.0
789288,9689.0,1338.0
267291,70583.0,0.0
576363,47932.0,431.0
427140,44177.0,330.0
603658,64556.0,2023.0
357574,72464.0,0.0
814236,38448.0,0.0
275846,101280.0,0.0
901987,53848.0,0.0
501854,28945.0,2931.0
580628,0.0,0.0
129743,0.0,0.0
584017,71338.0,1181.0
455594,93211.0,1466.0
524379,33506.0,1625.0
656639,60121.0,0.0
159531,56082.0,968.0
857629,74120.0,2134.0
704968,85215.0,625.0
348143,107622.0,0.0
723091,57766.0,837.0
124207,11027.0,0.0
586401,33631.0,358.0
461559,40526.0,594.0
537405,75222.0,1086.0
156684,51839.0,502.0
788292,67594.0,1093.0
648043,64617.0,964.0
801542,0.0,0.0
651250,42296.0,1055.0
652642,37931.0,792.0
351296,57547.0,1194.0
401858,19175.0,353.0
546758,72239.0,644.0
230311,66250.0,1226.0
692096,61585.0,807.0
235391,56270.0,871.0
861877,58882.0,0.0
110142,152688.0,334.0
370405,13584.0,547.0
917423,46788.0,0.0
630290,18178.0,0.0
153987,20039.0,0.0
559622,70879.0,848.0
891516,26763.0,0.0
330343,66950.0,1839.0
169529,70752.0,0.0
700958,0.0,0.0
655957,64103.0,841.0
715797,3397.0,0.0
896095,43540.0,1479.0
348994,53988.0,1166.0
939399,34770.0,428.0
607565,48041.0,1026.0
426536,54691.0,1672.0
746772,42956.0,1877.0
836523,52885.0,425.0
188307,51192.0,1437.0
949612,602.0,719.0
980837,21684.0,1796.0
256188,31975.0,371.0
770362,16621.0,0.0
424451,6540.0,0.0
505776,15917.0,1534.0
434657,35679.0,480.0
670939,57801.0,546.0
415148,69376.0,1080.0
785826,79230.0,548.0
992930,54269.0,867.0
235092,73522.0,596.0
738651,34518.0,608.0
925353,67115.0,0.0
830818,41600.0,1331.0
549598,34540.0,675.0
834760,67319.0,2123.0
476068,85338.0,1080.0
206284,173295.0,530.0
967819,0.0,0.0
563774,44007.0,784.0
779412,61613.0,1025.0
100646,41715.0,559.0
880436,93743.0,1073.0
977305,66835.0,875.0
551938,51681.0,1025.0
588220,65656.0,1898.0
831854,128412.0,0.0
262099,76073.0,1043.0
677174,47222.0,479.0
245289,82022.0,1823.0
400470,56419.0,1862.0
325367,59407.0,1408.0
932572,73611.0,398.0
523288,47266.0,1065.0
673934,37197.0,650.0
863942,0.0,0.0
984545,60509.0,535.0
454543,35168.0,843.0
575571,53162.0,491.0
959027,0.0,0.0
198354,0.0,0.0
456360,49553.0,1797.0
677751,33474.0,995.0
729537,33521.0,328.0
134148,31885.0,591.0
384146,55368.0,0.0
977693,56400.0,732.0
295929,45990.0,1690.0
276746,62674.0,1224.0
349342,64029.0,972.0
572263,41576.0,745.0
670289,16456.0,0.0
635531,68918.0,1494.0
276673,63395.0,0.0
455991,51314.0,2145.0
797845,67395.0,1372.0
491369,61400.0,471.0
881818,54997.0,1166.0
902192,36609.0,526.0
221813,105939.0,0.0
132914,34282.0,1270.0
830503,69343.0,1555.0
625183,50033.0,1181.0
270337,72276.0,1155.0
575844,41814.0,1237.0
577278,24898.0,2064.0
725962,8026.0,541.0
314317,52076.0,992.0
107037,37882.0,669.0
869804,65349.0,1503.0
530880,66220.0,1191.0
653542,60423.0,2071.0
215751,0.0,0.0
871124,36592.0,582.0
590012,0.0,0.0
839362,78044.0,840.0
165484,50678.0,317.0
888404,8830.0,0.0
473563,47151.0,0.0
122519,137538.0,733.0
723820,39286.0,0.0
331992,0.0,0.0
663513,62975.0,378.0
861558,42033.0,0.0
312455,69834.0,364.0
463263,58527.0,436.0
775440,79623.0,623.0
846796,58311.0,1258.0
781797,25446.0,2278.0
593421,60314.0,2162.0
185774,59309.0,479.0
260408,59473.0,1299.0
222490,46890.0,1456.0
272289,0.0,0.0
529085,61902.0,659.0
604332,57034.0,0.0
202716,46730.0,744.0
989040,0.0,0.0
294849,30669.0,572.0
448912,60825.0,325.0
616722,33317.0,1065.0
668020,56814.0,1811.0
592213,0.0,0.0
287088,65313.0,1117.0
198645,42257.0,850.0
656993,3426.0,0.0
346554,0.0,0.0
568484,62676.0,0.0
347431,75396.0,871.0
545144,36692.0,371.0
326564,58003.0,861.0
189817,59957.0,900.0
623478,28612.0,434.0
355298,64824.0,827.0
277783,54386.0,2259.0
724626,28028.0,349.0
213432,43254.0,492.0
858125,0.0,0.0
798029,109308.0,314.0
625524,45954.0,507.0
737756,66616.0,1121.0
991189,2352.0,497.0
264632,84240.0,2105.0
480864,54515.0,383.0
856502,50176.0,2399.0
689912,63440.0,1368.0
365451,48421.0,2231.0
586753,79242.0,1046.0
209102,59426.0,407.0
414239,42175.0,0.0
134085,79636.0,2114.0
230908,66022.0,822.0
750776,20115.0,443.0
577535,68263.0,1099.0
340782,34970.0,465.0
280216,30912.0,494.0
290994,67946.0,373.0
146560,25384.0,0.0
954454,0.0,0.0
727573,48583.0,777.0
528226,67359.0,1334.0
123697,46301.0,0.0
747395,58505.0,1460.0
791342,52763.0,0.0
318561,70951.0,0.0
692741,0.0,0.0
508501,74877.0,1967.0
159533,6921.0,0.0
661487,52558.0,1043.0
334574,0.0,0.0
114219,49604.0,914.0
154958,0.0,0.0
510502,40552.0,641.0
838589,15494.0,0.0
888430,17795.0,0.0
616611,0.0,0.0
983199,8330.0,0.0
245929,53044.0,0.0
369658,83637.0,1159.0
736518,58473.0,1003.0
959044,58593.0,0.0
809404,71623.0,1062.0
904410,0.0,0.0
918350,0.0,0.0
940156,59362.0,1775.0
639116,14574.0,0.0
782596,69495.0,1185.0
616500,58057.0,861.0
414584,83565.0,748.0
309639,30291.0,617.0
677045,48367.0,1156.0
867284,3562.0,0.0
539760,61271.0,2292.0
199809,45287.0,811.0
702542,50197.0,0.0
781570,58763.0,1382.0
985839,46362.0,0.0
383391,4497.0,0.0
334575,46532.0,653.0
969053,48694.0,0.0
911525,67030.0,3983.0
970014,10727.0,508.0
962730,46247.0,805.0
569846,30686.0,359.0
671628,39755.0,582.0
183052,45823.0,1126.0
652370,50958.0,526.0
537795,83272.0,1107.0
277430,4102.0,396.0
271365,70080.0,3294.0
500022,66681.0,589.0
789826,68711.0,2553.0
263433,49937.0,1095.0
435557,35425.0,0.0
501037,0.0,0.0
509809,28263.0,619.0
918756,63977.0,2370.0
305807,45131.0,1293.0
866606,70525.0,530.0
939474,0.0,0.0
512869,60932.0,1878.0
952641,59087.0,1628.0
377375,19273.0,0.0
490840,51505.0,863.0
425294,68759.0,1072.0
359575,63043.0,1015.0
265557,54930.0,998.0
730388,76504.0,0.0
383108,50131.0,357.0
270570,55700.0,1677.0
672103,47963.0,2363.0
512906,41036.0,1822.0
273357,65113.0,575.0
183020,67055.0,2540.0
901857,37511.0,0.0
844582,46482.0,1167.0
968666,41400.0,0.0
804259,60171.0,0.0
606811,0.0,0.0
563386,28800.0,0.0
471204,45007.0,534.0
893266,53180.0,436.0
662045,207786.0,1301.0
184207,0.0,0.0
295795,0.0,0.0
515165,64928.0,467.0
625557,64281.0,889.0
608159,42590.0,400.0
726688,47630.0,522.0
112863,56146.0,1646.0
282678,64861.0,1222.0
260000,51439.0,1528.0
895537,35169.0,1674.0
215567,48963.0,830.0
748649,68466.0,2280.0
232203,22280.0,0.0
216269,78139.0,1511.0
795512,51320.0,1662.0
923560,58473.0,1507.0
698915,0.0,0.0
445024,52782.0,430.0
899871,43418.0,447.0
618379,71314.0,584.0
825517,101471.0,1514.0
659011,58222.0,860.0
899734,0.0,0.0
504311,59276.0,1481.0
653890,0.0,0.0
535183,20870.0,306.0
967966,60261.0,0.0
482169,49516.0,670.0
344483,83885.0,1033.0
760196,69847.0,520.0
212209,61192.0,1037.0
389081,0.0,0.0
735038,93170.0,1217.0
101544,61432.0,1722.0
152685,0.0,0.0
822122,51067.0,463.0
483802,0.0,0.0
264701,24358.0,0.0
327320,52136.0,850.0
718655,84471.0,0.0
575342,26772.0,556.0
757010,50248.0,462.0
745901,155577.0,537.0
421744,54555.0,0.0
948714,44982.0,2203.0
384907,0.0,0.0
763248,76902.0,0.0
101540,49094.0,931.0
857942,50478.0,2631.0
652852,51745.0,652.0
677213,39112.0,1952.0
336076,5036.0,0.0
318751,52009.0,816.0
118418,136680.0,355.0
902690,43862.0,1273.0
952493,65932.0,619.0
350675,54316.0,0.0
684022,67017.0,972.0
491351,64428.0,0.0
414164,29631.0,563.0
804557,44297.0,615.0
277370,0.0,0.0
577156,92639.0,781.0
102311,83581.0,1396.0
244132,75012.0,1541.0
659400,55313.0,432.0
365887,14888.0,0.0
194786,70852.0,1150.0
869133,43157.0,1249.0
348350,0.0,0.0
795743,0.0,0.0
642313,47139.0,1506.0
275442,49822.0,1164.0
344180,31743.0,391.0
654578,63291.0,1029.0
771713,48919.0,563.0
392989,9695.0,0.0
621750,58321.0,803.0
422358,73428.0,585.0
128475,31986.0,1212.0
666597,41182.0,1117.0
577232,0.0,0.0
861104,61723.0,0.0
562661,139950.0,0.0
210734,53540.0,1681.0
203033,92663.0,562.0
912128,57114.0,453.0
257393,0.0,0.0
902562,61857.0,521.0
426429,72241.0,0.0
286636,116617.0,2785.0
634900,81374.0,943.0
153395,69186.0,850.0
107993,45033.0,0.0
291595,39132.0,0.0
846215,0.0,0.0
439013,153531.0,748.0
299454,36509.0,0.0
399514,20289.0,486.0
738467,87589.0,0.0
845994,25524.0,403.0
220806,52012.0,1010.0
736615,28042.0,1546.0
899009,78344.0,2373.0
401859,57756.0,912.0
431586,44361.0,1015.0
526586,111467.0,966.0
451042,0.0,0.0
858961,39649.0,553.0
197578,37855.0,1708.0
278054,0.0,0.0
844834,92319.0,0.0
624980,69088.0,914.0
815841,116316.0,0.0
921746,0.0,0.0
799148,26755.0,0.0
395622,72942.0,1393.0
435249,57009.0,0.0
844145,0.0,0.0
539436,42754.0,1524.0
237729,60777.0,1905.0
255019,0.0,0.0
926531,0.0,0.0
789431,0.0,0.0
996159,0.0,0.0
849425,48642.0,387.0
680376,10654.0,0.0
796943,0.0,0.0
891903,28989.0,0.0
167515,57104.0,1676.0
999982,8323.0,0.0
355750,62675.0,614.0
782241,63282.0,1425.0
316082,43041.0,0.0
790240,58670.0,954.0
100883,53659.0,0.0
162568,0.0,0.0
804784,39908.0,0.0
110099,59296.0,1486.0
773390,49060.0,864.0
470469,51049.0,537.0
830446,45897.0,1462.0
890595,48574.0,2346.0
768959,5192.0,590.0
523642,51943.0,0.0
230027,66449.0,2722.0
217051,48833.0,2032.0
519873,137742.0,0.0
167575,30544.0,0.0
867070,31489.0,583.0
393380,71337.0,523.0
482218,72634.0,0.0
528985,76373.0,1548.0
181770,0.0,0.0
615826,49647.0,975.0
543449,10261.0,588.0
250380,45760.0,0.0
485397,57539.0,0.0
735605,110736.0,0.0
630396,69066.0,363.0
317094,51760.0,616.0
178160,62324.0,3063.0
838553,7557.0,683.0
616875,48045.0,0.0
886299,29960.0,1038.0
463971,56716.0,571.0
276967,14904.0,808.0
713465,58625.0,1035.0
223081,0.0,0.0
951719,66665.0,1385.0
738890,1130.0,0.0
579931,47541.0,1058.0
741244,21966.0,0.0
161956,30947.0,0.0
257506,55415.0,1649.0
432366,50171.0,1048.0
225746,57488.0,379.0
651097,59052.0,990.0
467151,72830.0,946.0
343247,17712.0,0.0
109660,69953.0,1284.0
683250,0.0,0.0
734801,64842.0,1002.0
520137,44264.0,2050.0
198625,59089.0,461.0
785223,58157.0,1186.0
391509,47608.0,1782.0
604870,128710.0,1685.0
136637,64732.0,991.0
762272,38968.0,442.0
209357,81419.0,996.0
442018,47776.0,738.0
411734,26433.0,0.0
803150,70149.0,411.0
468220,52319.0,811.0
379281,26233.0,0.0
161769,80718.0,2774.0
118379,38304.0,0.0
748586,13817.0,695.0
336817,132441.0,0.0
171691,132543.0,556.0
891218,0.0,0.0
128615,0.0,0.0
719706,38223.0,666.0
919437,74148.0,986.0
385912,36881.0,0.0
798433,89181.0,365.0
795084,28456.0,0.0
476652,74132.0,981.0
456958,46595.0,432.0
573897,72363.0,1018.0
342527,85072.0,1483.0
116288,47604.0,1051.0
947679,69819.0,0.0
689459,39803.0,311.0
234895,29197.0,0.0
536485,63150.0,1468.0
931622,30729.0,621.0
866168,57416.0,1953.0
860809,71706.0,0.0
727428,32466.0,0.0
874104,71378.0,465.0
233017,40459.0,895.0
834270,56344.0,2015.0
959364,12420.0,0.0
603082,31701.0,0.0
918276,76373.0,0.0
368878,0.0,0.0
494062,53403.0,637.0
748174,0.0,0.0
209850,9051.0,0.0
339927,47735.0,486.0
582097,0.0,0.0
675616,68677.0,2666.0
151967,23432.0,1862.0
794552,37303.0,444.0
963523,52493.0,419.0
631369,0.0,0.0
517797,32248.0,1429.0
102740,8927.0,0.0
117782,76507.0,1268.0
695755,0.0,0.0
568286,52020.0,1447.0
842236,56702.0,764.0
855026,71632.0,1922.0
250696,43945.0,1135.0
723186,57392.0,414.0
490824,48119.0,0.0
989154,42091.0,1407.0
183754,37050.0,1013.0
181498,0.0,0.0
472702,19899.0,0.0
664008,21022.0,579.0
680878,17291.0,0.0
394979,63439.0,760.0
716533,66239.0,644.0
895346,76594.0,501.0
733728,65448.0,595.0
362471,68189.0,0.0
738473,46452.0,628.0
889569,73732.0,2557.0
825730,0.0,0.0
326699,67626.0,490.0
576057,9862.0,0.0
488303,45122.0,0.0
377173,46060.0,525.0
164094,54507.0,1028.0
822066,49763.0,0.0
822653,0.0,0.0
789004,45068.0,1268.0
128633,43091.0,1994.0
515298,0.0,0.0
182320,55683.0,390.0
295906,79325.0,580.0
996238,82238.0,1545.0
426124,50879.0,1301.0
486956,50258.0,399.0
714825,55479.0,669.0
233991,32261.0,877.0
564909,58860.0,1439.0
301744,62810.0,1228.0
441356,37983.0,389.0
159351,55404.0,1052.0
490562,26976.0,0.0
149782,83296.0,1054.0
969500,46952.0,361.0
950216,74451.0,556.0
249982,78776.0,1386.0
415201,12731.0,1009.0
656027,93522.0,0.0
880740,46682.0,454.0
554983,59277.0,1209.0
630588,90358.0,0.0
169948,83665.0,560.0
773593,0.0,0.0
740703,55137.0,0.0
613076,41760.0,2377.0
195131,0.0,0.0
489985,37402.0,750.0
354084,59571.0,0.0
454718,53422.0,0.0
565242,17215.0,0.0
141703,71380.0,872.0
162456,74849.0,933.0
354176,7658.0,0.0
142906,70140.0,1434.0
711853,111258.0,930.0
146354,26016.0,579.0
958800,29949.0,0.0
131815,67612.0,3982.0
121095,58553.0,514.0
880805,148956.0,1317.0
430503,63079.0,490.0
647894,46374.0,401.0
597837,70480.0,1217.0
976004,14046.0,1064.0
563188,64455.0,862.0
729561,197520.0,0.0
496820,51237.0,1102.0
718745,50846.0,476.0
422787,52459.0,513.0
213545,15102.0,0.0
812513,72362.0,2145.0
530712,0.0,0.0
350486,0.0,0.0
429460,24803.0,374.0
645265,45483.0,381.0
425854,52145.0,630.0
513081,35692.0,2148.0
787472,55887.0,2006.0
850418,74100.0,1076.0
683791,61120.0,1538.0
716393,64581.0,1922.0
220131,204399.0,0.0
981508,46604.0,518.0
216445,0.0,0.0
246421,210903.0,1016.0
526349,50719.0,2396.0
302056,60632.0,1572.0
534905,43832.0,0.0
996745,77244.0,1409.0
577795,78339.0,1440.0
583718,41384.0,1951.0
216661,77931.0,560.0
235454,21943.0,293.0
717250,72342.0,1404.0
355515,72677.0,972.0
151036,25702.0,0.0
675240,0.0,0.0
612186,50450.0,1776.0
806598,58982.0,464.0
210416,63329.0,0.0
440885,51211.0,837.0
747315,66961.0,0.0
450205,46909.0,472.0
568798,36765.0,0.0
262177,77118.0,1906.0
762044,50405.0,1958.0
771880,6157.0,0.0
707699,82525.0,2073.0
667041,74025.0,1402.0
177677,0.0,0.0
891696,70389.0,780.0
428526,47778.0,677.0
148612,49992.0,1409.0
223632,58670.0,1061.0
388292,50184.0,1372.0
644374,35592.0,1682.0
733608,46944.0,403.0
783610,17557.0,0.0
789057,7488.0,0.0
592302,22164.0,0.0
116562,15412.0,531.0
494438,8605.0,1214.0
164192,39962.0,0.0
956233,0.0,0.0
818886,0.0,0.0
595323,62834.0,635.0
667117,56009.0,1619.0
987221,54011.0,523.0
659607,64730.0,415.0
901049,25101.0,387.0
199073,64160.0,438.0
614428,0.0,0.0
218311,59846.0,0.0
260155,70664.0,1964.0
722629,74403.0,1593.0
485383,60324.0,1442.0
510841,42532.0,582.0
855998,28519.0,493.0
262369,76425.0,373.0
911003,57882.0,0.0
548228,54577.0,1044.0
355707,22690.0,443.0
557597,15031.0,0.0
892967,44725.0,649.0
787899,0.0,0.0
319801,65994.0,659.0
945133,49775.0,615.0
919823,58449.0,1176.0
481028,41830.0,1261.0
118864,52921.0,0.0
900501,45584.0,341.0
304528,0.0,0.0
485189,0.0,0.0
431899,69711.0,1113.0
532813,66255.0,559.0
345608,49803.0,2344.0
117408,73206.0,0.0
750739,38948.0,384.0
556755,0.0,0.0
953307,9355.0,337.0
902040,72280.0,622.0
489443,0.0,0.0
146215,70478.0,956.0
348173,0.0,0.0
482922,134880.0,0.0
540316,55738.0,1860.0
623537,59712.0,1759.0
430618,52902.0,455.0
166239,71186.0,1866.0
966512,26743.0,655.0
772362,32946.0,1080.0
815850,60471.0,1523.0
711565,40239.0,0.0
477219,43803.0,1244.0
555745,81781.0,1625.0
191626,23364.0,476.0
482940,75542.0,1406.0
427976,45141.0,1898.0
612955,51186.0,319.0
783363,25706.0,520.0
146400,18971.0,367.0
877595,47306.0,570.0
765481,53717.0,439.0
821137,74287.0,0.0
287343,7766.0,0.0
856705,44462.0,337.0
101018,71919.0,1186.0
382953,50058.0,0.0
794620,10406.0,0.0
539742,78425.0,1588.0
387570,54140.0,1646.0
404011,47565.0,459.0
794523,41119.0,1247.0
709656,88920.0,585.0
464970,11374.0,0.0
576354,61854.0,427.0
565351,58866.0,2646.0
233738,54492.0,1684.0
267930,31612.0,488.0
967462,65175.0,1063.0
387695,46996.0,984.0
744528,65401.0,1579.0
161241,48491.0,0.0
300964,41562.0,1119.0
313602,88616.0,383.0
503257,33891.0,1384.0
764595,58314.0,1768.0
241421,40993.0,0.0
200991,49483.0,1512.0
